window_size,batch_size,epochs,hidden_layers,hidden_size,shuffle,best_loss,avg_test_loss,avg_train_loss
10,64,150,4,64,True,[2.00010067],2.0034800101875305,2.0068702725286567
10,64,150,3,64,True,[2.00011067],2.008642092568973,2.015743636428607
16,64,150,3,64,True,[2.00011449],2.0036501815277394,2.007843848950554
16,64,150,2,64,True,[2.00012252],2.002046413636515,2.006121208872964
16,64,150,4,64,True,[2.00012252],2.012815910014891,2.020649392477179
10,64,150,2,64,True,[2.0001237],2.0040263447950855,2.009571481163419
20,64,150,3,64,True,[2.00012582],2.0028284751926675,2.0063708707983787
10,64,150,4,64,False,[2.00012585],2.0043588300786275,2.007278976245172
20,64,150,3,64,False,[2.00012759],2.0028780630349776,2.0062383037983786
20,64,150,4,64,True,[2.00013044],2.0056543584711464,2.0104412222590207
16,64,150,4,32,True,[2.00013257],2.0090085584856054,2.015247882970754
20,64,150,2,64,True,[2.00014595],2.0035656683699803,2.0080929057748125
10,64,150,3,32,True,[2.0001557],2.006482940374324,2.0116454346072477
16,64,150,2,64,False,[2.00015663],2.0031485129600193,2.006892112281774
10,64,150,4,32,True,[2.00016077],2.0120039571066606,2.018649269368727
10,32,150,3,64,True,[2.00016156],2.00397550126906,2.0088875051229453
16,32,150,4,64,True,[2.00017227],2.002455690924688,2.0060288236147
16,64,150,2,32,True,[2.00018027],2.0079190093317902,2.0154154000136546
20,64,150,2,64,False,[2.00018157],2.0052022076220655,2.011895265499314
16,64,150,4,64,False,[2.00018724],2.00474529531533,2.0075245099219368
16,64,150,3,64,False,[2.00019935],2.003904648552378,2.0083602232476316
20,64,150,4,64,False,[2.00020177],2.007940292750395,2.0116344818290086
10,64,150,3,64,False,[2.00020818],2.0045771705405433,2.00916717246741
20,64,150,2,32,True,[2.00021867],2.0087948238059576,2.016878093556742
20,32,150,4,64,True,[2.00022335],2.005566657290875,2.012232831521736
20,32,150,3,64,True,[2.00022427],2.0035360145410346,2.0092589239840506
10,64,150,3,32,False,[2.00023443],2.0058123994280987,2.012895499232569
20,32,150,2,64,True,[2.00023517],2.0042238528684075,2.0113551386363278
16,64,150,3,32,False,[2.00023539],2.015316871500444,2.023559767177389
16,32,150,2,64,True,[2.00024093],2.003276246499206,2.010457951780776
16,32,150,3,32,True,[2.00024811],2.01290755349423,2.0258401070568106
20,64,150,4,32,True,[2.00026146],2.00580660864934,2.0103217653579954
20,64,150,3,32,True,[2.00027136],2.012293839341043,2.021564602975462
16,16,150,2,64,True,[2.00027206],2.002966997860627,2.0090539674119445
16,64,150,4,32,False,[2.00027836],2.0178885723875406,2.0262897994619453
10,32,150,4,64,True,[2.00027843],2.005612779694575,2.0117703897388233
16,32,150,2,32,True,[2.00028009],2.00658460225981,2.017993627789669
20,64,150,4,32,False,[2.00028198],2.009988487046648,2.0146124791614564
10,64,150,4,16,True,[2.00028748],2.0086896492782262,2.016048482780161
10,32,150,2,64,False,[2.00029317],2.011853279874149,2.0232008640944668
16,32,150,3,64,False,[2.0003156],2.0055343894061117,2.012011996747385
10,32,150,4,64,False,[2.00032116],2.0056579795677383,2.01079751621093
20,64,150,2,16,True,[2.00032251],2.0059616853500897,2.015224088263286
10,32,150,3,32,True,[2.0003313],2.0100391685671926,2.02103556328569
10,32,150,3,32,False,[2.00033654],2.006271542684314,2.012478308170655
20,32,150,3,32,True,[2.00033661],2.013336234934846,2.0255445429345507
20,32,150,4,64,False,[2.00034709],2.005271759326889,2.010989906099451
20,32,150,3,64,False,[2.00036042],2.006567728545915,2.013118543024786
10,16,150,3,64,True,[2.00036301],2.002709765306912,2.007887170420207
16,32,150,4,64,False,[2.00036438],2.0083517201600842,2.01424481224749
16,32,150,3,64,True,[2.0003665],2.003996047754758,2.008698756291066
16,64,150,3,32,True,[2.00037293],2.0167312288752064,2.02825122805146
16,32,150,2,64,False,[2.00039263],2.0070192589262463,2.017082119106584
16,16,150,3,64,True,[2.00039293],2.0036043480143806,2.010103141898115
16,32,150,4,16,True,[2.00039528],2.0143943408312164,2.0248960645509864
10,32,150,2,64,True,[2.00040168],2.002886714263509,2.008245504742574
10,64,150,4,32,False,[2.00040591],2.0090363625476697,2.014299477487662
10,32,150,4,16,True,[2.00040844],2.0083794298189748,2.016927181986537
10,32,150,3,64,False,[2.00041904],2.0076595965235158,2.0150662142856945
20,16,150,2,64,True,[2.00042046],2.0031828301545134,2.0112976990208873
10,64,150,2,32,False,[2.00043755],2.008138868081691,2.0188644789372385
10,64,150,2,32,True,[2.00043793],2.003798812917662,2.0092320765404947
16,32,150,4,32,True,[2.00043856],2.0109281656899425,2.0231791962107217
20,16,150,4,64,True,[2.00044317],2.0039188708661935,2.0114645762772247
20,64,150,4,16,True,[2.00045227],2.016414555411259,2.028122185336405
10,64,150,3,16,True,[2.00047177],2.0477463247434127,2.0645000750511886
10,16,150,4,64,True,[2.00047809],2.0044518643453237,2.011553794723246
20,16,150,3,32,True,[2.00048885],2.0051045184395533,2.01614065147744
20,16,150,4,32,True,[2.0004913],2.006115383005802,2.0145800198777324
16,64,150,3,16,True,[2.00049181],2.027912406801698,2.040691794512708
16,16,150,2,32,True,[2.00049549],2.005510055375486,2.017720014432382
10,64,150,2,64,False,[2.0004982],2.0072090556322184,2.0150649878183127
16,64,150,4,16,True,[2.00050604],2.0077283323581945,2.013317874681375
10,16,150,2,64,True,[2.00050876],2.00567751535161,2.01747462580827
20,32,150,4,32,True,[2.00051252],2.0194548721136076,2.0334412012277765
20,16,150,3,64,True,[2.00051596],2.0056381395296654,2.015935739704276
16,32,150,3,32,False,[2.00052492],2.0075531587764766,2.0148975231343456
20,32,150,4,32,False,[2.00052522],2.0100540723321108,2.018386339030782
10,32,150,2,32,True,[2.00053169],2.0174383729430656,2.035393972047043
16,64,150,2,16,True,[2.00054205],2.005582929652579,2.0146924767659864
10,32,150,4,32,True,[2.00054275],2.008509284518874,2.0164179581977173
20,32,150,2,32,True,[2.00055631],2.008787610458533,2.0198640732188378
16,16,150,4,64,True,[2.00055703],2.005871070658584,2.012422361852098
20,16,150,2,32,True,[2.00056756],2.006886553333433,2.0200380282030848
16,32,150,4,32,False,[2.00057184],2.0076651965206715,2.0153039793475918
16,16,150,3,32,True,[2.00058162],2.017244537886048,2.033611841940743
10,64,150,2,16,False,[2.00058375],2.008045951821583,2.016130721003332
10,32,150,4,32,False,[2.00060042],2.0227903496054918,2.0384950248830487
20,32,150,2,64,False,[2.00060723],2.004339213546197,2.0094566553911233
16,64,150,2,32,False,[2.00060828],2.0124655308846293,2.024152396403706
10,32,150,2,16,True,[2.00063173],2.007886363633804,2.0174418788215203
16,64,150,4,16,False,[2.00064601],2.009682692842136,2.017283763841139
10,16,150,4,32,True,[2.000659],2.0084927207682086,2.0185803803616174
16,16,150,3,16,True,[2.00067808],2.0174984279998345,2.032918036230909
10,16,150,2,32,True,[2.00068805],2.005353625842251,2.0154511196514204
16,16,150,2,16,True,[2.00069168],2.0134352603140178,2.039445833214465
20,32,150,3,32,False,[2.00069747],2.0077741839004632,2.0156836105555045
20,64,150,2,32,False,[2.00069777],2.0044217093756087,2.0092447748755227
20,32,150,2,16,True,[2.00074042],2.009539323421896,2.0232011681231983
16,16,150,4,32,True,[2.00074352],2.0111406072687017,2.026377588256671
16,32,150,2,16,True,[2.00076072],2.009599881568169,2.020641541481747
16,64,150,2,16,False,[2.00076146],2.014938903898519,2.028187935763614
20,32,150,3,16,False,[2.0007729],2.015151954559825,2.032550032749276
20,16,150,4,16,True,[2.00078318],2.010971672055191,2.0248299798998457
20,16,150,3,16,True,[2.00085881],2.013388483833682,2.036833449490051
20,64,150,3,32,False,[2.00085988],2.0094041804485787,2.0170282372004156
10,16,150,3,32,True,[2.00086858],2.0236199154216346,2.043743232097147
10,64,150,3,16,False,[2.00094541],2.028741135283687,2.04188613252568
20,32,150,4,16,True,[2.0009735],2.0137581400491498,2.0315674145140408
10,16,150,3,64,False,[2.000979],2.009162894104094,2.01445804408857
16,32,150,4,16,False,[2.00099326],2.0082324412987895,2.0175846286264063
